Member,Type,Facility,Year,Date Of Commitment,Amount Agreed,Amount (mn),IFScode,Country,Region,Facility acronym,facilitycode,typecode,decade,incomecode
Finland,GRA,Stand-By Arrangement,1952,5-Dec-52,"5,000,000",5,172,FIN,EUR,SBA,6,1,1,AE
Peru,GRA,Stand-By Arrangement,1954,18-Feb-54,"12,500,000",12.5,293,PER,WHD,SBA,6,1,1,EMDE
Mexico,GRA,Stand-By Arrangement,1954,16-Apr-54,"50,000,000",50,273,MEX,WHD,SBA,6,1,1,EMDE
Chile,GRA,Stand-By Arrangement,1956,1-Apr-56,"35,000,000",35,228,CHL,WHD,SBA,6,1,1,EMDE
"Iran, Islamic Republic of",GRA,Stand-By Arrangement,1956,18-May-56,"17,500,000",17.5,429,IRN,MCD,SBA,6,1,1,EMDE
France,GRA,Stand-By Arrangement,1956,17-Oct-56,"262,500,000",262.5,132,FRA,EUR,SBA,6,1,1,AE
Nicaragua,GRA,Stand-By Arrangement,1956,21-Nov-56,"3,750,000",3.75,278,NIC,WHD,SBA,6,1,1,LIC
Bolivia,GRA,Stand-By Arrangement,1956,29-Nov-56,"7,500,000",7.5,218,BOL,WHD,SBA,6,1,1,EMDE
United Kingdom,GRA,Stand-By Arrangement,1956,22-Dec-56,"738,530,000",738.53,112,GBR,EUR,SBA,6,1,1,AE
India,GRA,Stand-By Arrangement,1957,11-Mar-57,"72,500,000",72.5,534,IND,APD,SBA,6,1,1,EMDE
Colombia,GRA,Stand-By Arrangement,1957,19-Jun-57,"25,000,000",25,233,COL,WHD,SBA,6,1,1,EMDE
Paraguay,GRA,Stand-By Arrangement,1957,30-Jul-57,"5,500,000",5.5,288,PRY,WHD,SBA,6,1,1,EMDE
"Netherlands, The",GRA,Stand-By Arrangement,1957,12-Sep-57,"68,750,000",68.75,138,NLD,EUR,SBA,6,1,1,AE
Nicaragua,GRA,Stand-By Arrangement,1957,7-Oct-57,"7,500,000",7.5,278,NIC,WHD,SBA,6,1,1,LIC
Honduras,GRA,Stand-By Arrangement,1957,12-Nov-57,"3,750,000",3.75,268,HND,WHD,SBA,6,1,1,LIC
